MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,RainToday
9.7,17.7,0,3.2,2,24,7,15,100,63,1024.1,1023.3,0
8.8,23,0,3.4,9.6,24,6,15,90,44,1021,1018,0
8,23.1,0.2,4,10.7,20,0,13,97,51,1019,1017.2,0
10,26.7,0.2,2.4,7.2,39,4,20,97,48,1014.4,1011.3,0
13.5,20,0,7,8.1,50,28,37,72,52,1012,1014.1,0
9.6,19.2,0,3.6,6.8,22,6,11,75,53,1020,1018.1,0
7.6,26.6,0.2,3.8,6.6,41,19,20,69,36,1012.6,1008.1,0
14.6,22.2,0.2,4.6,9.6,35,19,24,82,64,1013.6,1013.7,0
12.3,25.3,0.2,3.6,8.2,50,17,20,94,49,1016.9,1014.8,0
12.1,27.1,0.2,3.6,9,20,9,13,80,52,1018.8,1016.2,0
13.8,30.7,0.2,2.8,7.2,94,22,33,45,82,1009.7,1007.3,0
10.3,17.5,1.8,8.2,0.4,48,17,20,53,61,1023.2,1021.8,1
9.9,18.7,0,2.6,6.6,61,19,37,80,66,1018.3,1015.6,0
10.8,14.8,2,3.8,8.3,54,24,20,75,71,1021.9,1025.4,1
9.5,15.4,2.6,3.8,0.6,35,13,13,59,51,1035,1035.2,1
12,17.6,0,0.8,6.8,26,7,11,64,53,1036.8,1034.4,0
4.8,21.2,0.2,3.2,9.5,35,6,24,72,42,1033.3,1030.8,0
7.2,24.9,0.2,1.8,10.1,39,13,20,60,21,1028.8,1025.1,0
7.2,18.8,0,4,9.2,33,13,19,80,53,1026.7,1025.7,0
10.2,27.6,0,4.2,9.6,30,9,13,66,35,1016.9,1013.7,0
11.4,20,0,3.8,6.5,24,7,17,92,81,1017.8,1016.6,0
13.8,22.8,0,3.4,3.2,54,9,13,88,72,1014.1,1009.9,0
11.1,19.6,3.8,6.6,8,63,24,28,78,82,1004.7,1003.4,1
10.5,14.6,7.4,4,2.9,50,24,20,91,60,1006.4,1007.4,1
7.4,14.1,11,1.6,1.6,52,33,24,74,50,1016.8,1017.9,1
9.6,16.1,1.8,0.6,2.9,35,15,19,73,85,1022,1021.2,1
11.4,16.4,2.6,0.8,1.5,28,9,17,91,78,1023.5,1022.1,1
9.6,18,0.6,0.2,3,30,13,20,74,70,1024.3,1022.8,0
12.2,18.6,2.6,1.6,6.7,59,24,31,85,84,1020.8,1019.3,1
7.7,14.9,2.2,2.2,3.8,22,0,9,71,61,1026.6,1025.4,1
6.1,16.8,0,2.8,3.6,28,9,15,86,53,1023.3,1019.3,0
7.8,17.6,0,3.6,0.6,41,24,22,57,84,1015.8,1015.4,0
9.5,13.6,12.8,0.2,6.9,46,19,17,65,59,1028.2,1027.9,1
9.9,15.2,8.8,1.6,6.1,37,9,19,82,70,1024.3,1022.2,1
10.4,14.8,2.6,0.2,3.8,43,15,19,76,64,1023.2,1022.2,1
7.8,14.7,2.2,1.6,7.1,30,11,15,71,67,1023.1,1021.1,1
5.3,14.7,2,1.2,2,20,7,13,92,68,1019.5,1016.7,1
8.5,18.8,0.2,1.8,4.1,37,20,17,84,54,1012.6,1009.6,0
11.8,21.4,0.6,2.2,6.2,44,17,22,93,48,1012,1008.1,0
11.2,19.1,0,3.2,3.8,50,13,28,93,66,1013.5,1013.5,0
7.9,18,2,1.4,9.3,54,11,24,89,51,1021.2,1017.5,1
10.3,15.4,10,1.4,6.7,72,30,33,62,55,1018.3,1018.9,1
8.7,14.3,1.8,3,6.8,59,11,33,79,97,1021.9,1019.8,1
10.1,14.3,3.6,2.4,5.1,48,24,19,97,99,1021.7,1023.3,1
9.9,15.7,2,0.8,5.7,30,11,17,99,99,1029.8,1030,1
9.7,15.6,2,1.2,0.6,24,11,9,99,70,1030.5,1028.4,1
7.4,16.3,0.4,0.4,6.9,28,13,13,91,53,1026.8,1023.5,0
4.2,17.7,0.2,2.4,4.4,48,13,19,78,49,1022.3,1018.9,0
7.8,17.1,2,1,7.4,43,20,20,77,72,1018.9,1018.4,1
7.6,14.5,9,2.4,8.3,28,6,11,66,51,1025.9,1026.2,1
6,14.3,0.4,2.4,0.7,48,15,13,92,61,1027.6,1024.8,0
7,15.5,0,1.2,4.2,48,24,28,66,58,1020.4,1017.4,0
9.4,16.6,2.4,0.4,4.5,50,15,31,95,74,1016.5,1013.6,1
12.2,19.5,3.4,2.4,7.4,74,28,37,81,38,1009.3,1003.9,1
9.5,12.7,4.8,3.8,0,52,19,28,75,71,1017.3,1015.3,1
9.5,12.4,19.2,1,5.6,46,24,24,53,56,1013.8,1012.4,1
10,13.4,1.8,4.4,4.5,43,13,24,91,78,1015.9,1018.1,1
10.2,14.3,4.2,1.4,1.9,33,19,15,68,67,1027.3,1027.7,1
9.9,14.8,5,1,0.7,19,0,7,97,87,1036.7,1034.3,1
6.2,16.2,0.8,0.2,9.3,22,9,11,90,60,1031.8,1028.8,0
3,13.2,0.2,1,4.2,41,9,20,95,64,1024.5,1023.8,0
7.8,12.6,14.4,1,2.7,37,19,17,88,79,1020.4,1015.4,1
7.1,12.8,30.2,0.4,0,56,24,24,88,92,1013.7,1013,1
10.7,12.6,11.8,0.6,0.9,59,30,31,63,66,1019.7,1020.6,1
10.2,13,0.4,2,2,44,17,20,63,57,1027.2,1026.6,0
10.5,13.5,0,0.6,6.6,26,9,15,67,63,1028.5,1027.8,0
9.6,13.1,0,0.8,0.2,31,13,11,68,82,1030,1028.8,0
9.3,11.9,0.4,0.8,1.3,20,7,7,69,63,1029.8,1028.1,0
8.7,13,0,2,0.2,48,9,15,86,61,1029.4,1027.3,0
4.1,14,0.4,0.4,9.1,26,7,11,70,68,1026,1021.8,0
5.8,14.7,0,2.2,1.9,52,19,26,73,72,1015.5,1012.5,0
9.5,14.2,2,2.2,3.1,56,28,24,78,66,1005.5,1004.4,1
7.1,14.1,3.4,1,4.3,43,20,24,88,66,1008.7,1008,1
8.5,14.1,2.4,2.2,3.3,65,20,22,92,92,1009.1,1010.1,1
8.2,15,5.4,0.6,4.1,57,17,28,96,88,1022.2,1019.2,1
4.9,13.2,4.4,1,8.4,43,2,13,76,51,1025.6,1022.8,1
5.6,13.4,0,3.2,1,61,22,26,71,63,1010.5,1004.1,0
6.8,10.6,3.8,0.4,0,33,4,7,94,92,1005.2,1000.8,1
7.1,11,38.8,1.2,5.8,48,24,19,65,46,1009.9,1014,1
6.2,13.7,5.2,1,6.8,61,20,37,91,73,1020.9,1020.9,1
9.7,14.8,4,1.2,6.1,54,24,22,81,77,1027.1,1027.2,1
11,14.4,5.6,1.4,4.4,52,19,15,84,76,1029,1029.9,1
4.1,12.1,1,0.8,3.3,17,7,9,78,63,1033.7,1031.5,0
3,11,0,1.8,9,22,9,11,80,54,1030.7,1025.9,0
-0.2,11.4,0.2,1,2.3,57,15,24,75,66,1017,1010.1,0
5.3,11.9,4.6,2,4.3,57,24,28,93,68,1001.7,1000,1
7,11.6,19,2.4,3.5,61,13,20,93,84,1007.1,1008.3,1
6.7,11.8,33.2,1.4,5.5,57,22,22,88,86,1015.7,1017.7,1
7.9,12.9,1.8,0.6,3,35,17,24,70,75,1024.7,1024.1,1
7.8,13.4,4.2,0.6,6.1,28,6,17,95,78,1026.3,1025.7,1
4.6,12.9,2.8,0.8,6.6,26,2,9,93,65,1031.9,1032.2,1
2.6,13.4,0.4,1.4,7.5,15,4,4,93,70,1037,1035.7,0
1.8,12.9,0,0.2,5.9,24,9,13,92,55,1036.2,1032.8,0
6.5,13.4,0,2.4,1.1,30,11,11,73,79,1022,1018.8,0
8.7,12.2,7.8,0.4,0.6,24,7,9,97,91,1014.5,1009.2,1
9.8,13.9,5.4,0.6,4.1,43,15,19,82,71,1012.2,1011.5,1
9.1,14.5,0,0.6,2.1,43,24,15,69,68,1008.5,1006.7,0
3.7,14.5,0,0.8,0,24,0,13,95,79,1009,1006.9,0
8.7,11.1,2,0.4,0.9,48,17,30,96,96,1003.7,1007.8,1
7.7,14.3,6.2,1.6,2.9,65,26,39,88,81,1013.7,1013.2,1
8.9,16,7.8,0.4,3.8,41,17,20,96,75,1022.5,1020,1
8.6,15.4,0.2,1.6,6,57,24,30,69,59,1016.7,1012.9,0
6.6,12.3,6.2,2.2,7.3,56,17,19,75,67,1016.9,1017.7,1
5.9,14.1,2.8,1,7.3,48,19,33,88,73,1020.4,1019.3,1
7.6,14.6,5.4,0.4,5.6,35,11,13,92,68,1027.3,1028.2,1
7,15.2,0.4,0.6,4.3,35,13,24,95,87,1032.5,1032,0
8,15.1,3,0.8,1.7,22,7,13,95,79,1033.2,1031.1,1
7.4,13.7,1.6,2,0.3,20,9,11,97,67,1030.1,1026.9,1
6.4,15,0,0.4,2.2,31,7,13,81,61,1024.5,1020.2,0
7.6,14.8,0,1.2,4,43,15,22,73,59,1012.4,1007,0
8.3,13.7,1.4,1.8,8,35,15,19,86,71,1003.8,1006,1
10.3,12.2,4.6,1.6,1.6,41,19,20,71,62,1016.6,1017.3,1
8.5,13.8,3,0.8,5.4,46,24,17,80,79,1021,1022.5,1
7.3,13.1,2.2,1.8,6.1,41,19,19,74,53,1029.5,1029.7,1
7.6,12.5,2.2,0.8,6.6,30,11,11,81,67,1034,1032.7,1
7.7,13.1,2.8,0.8,1.3,26,7,15,82,60,1032.2,1029.7,1
3.3,13.7,0.2,0.4,8.4,19,7,6,94,74,1027.4,1023.4,0
4.5,13.4,0.2,1.2,0.5,39,17,22,79,61,1018,1013.8,0
6.5,14.4,8.6,0.6,7,57,11,20,93,66,1014.3,1012.1,1
7,13.2,2.8,3,5.7,52,15,19,81,73,1014.8,1012,1
8.3,12.5,6.8,0,5.8,83,24,50,82,69,1005.1,1006.8,1
6.2,12.4,8.4,2,4.9,61,22,26,71,65,1018.9,1020.3,1
5.8,15.7,1.6,1,7.9,54,26,26,75,53,1019.2,1015.2,1
9.1,14.9,3,4,7.4,70,28,37,89,64,1011.2,1010.8,1
7.9,12.8,2.6,2.2,8.1,65,28,26,73,62,1021,1023.9,1
9.2,13.5,1.6,1.8,2.4,37,11,13,82,74,1030.3,1030.6,1
9.7,14.1,3,1.2,3,33,17,17,88,71,1033.5,1032.3,1
2.9,13.7,0.2,1.2,3.8,39,11,20,91,60,1023.5,1018.5,0
6.6,13.9,2.2,2.6,7.4,46,22,26,93,99,1013.7,1015.2,1
6.7,13.1,0.8,2.2,6.2,54,31,31,86,63,1011.4,1011.1,0
5.7,13.6,8,1.8,1.9,57,20,31,91,89,1007.9,1001.7,1
6.7,11.3,13.4,2.6,5,70,33,35,83,76,997.8,1005,1
8.2,12.1,2.4,2.6,2.9,44,19,15,52,60,1019.1,1020,1
5.2,12.4,0.8,0.6,0.6,37,13,24,88,84,1023.1,1021.3,0
7.3,14.7,1.2,1,5.3,44,20,24,92,65,1018.9,1015.2,1
8.7,11.5,0.2,2.8,2.7,52,30,24,71,79,1008.3,1006.5,0
5,17.2,3,0.8,6.3,54,15,13,89,61,1004,997.3,1
6.1,11.8,1.6,2.4,1.4,56,24,22,84,88,996.7,996.8,1
5.7,11.3,11.6,1.4,9.2,81,43,50,77,77,1004.9,1007.9,1
7.2,13.6,3.8,2.6,6.8,65,17,35,91,83,1015.6,1013.2,1
9.3,12.5,0.2,1.8,1.7,56,22,30,61,65,1020.9,1020.9,0
7.8,13.6,0,2.6,2,48,22,26,73,66,1020.3,1017.2,0
8.5,19.1,0,2.2,4.5,63,19,20,63,56,1015.6,1010.6,0
9.8,15.3,0.4,2,6.4,67,19,30,75,87,1005.2,1001.9,0
5.7,11.6,8.2,3,7.1,72,30,33,76,85,1011.2,1016.1,1
6.6,13.2,7.4,1.4,7.2,67,15,15,90,76,1021.6,1023,1
8.4,13,0,1.6,0.1,20,7,11,85,75,1026.6,1023.8,0
12.1,14,0.6,7,1.9,98,33,39,89,66,995.9,991.5,0
9.6,16.2,12,3.2,2.9,76,26,30,79,82,1001.1,997,1
7.2,12.7,14.6,3,7.5,80,35,48,74,78,1005.3,1008.8,1
8.7,12.6,3.6,2.4,0.8,63,35,33,86,85,1018.7,1019.7,1
9.1,14.1,0.4,2.6,9,41,20,30,73,75,1026.6,1024.3,0
5.4,14.4,0,3.2,5.8,24,17,17,84,71,1023.7,1021.8,0
5.9,13.4,4.6,1.6,9.7,50,24,28,85,67,1016.8,1017.8,1
7.7,14.2,0.4,2,2,50,26,31,88,76,1020,1020.8,0
3.9,15.4,1.8,3,0.5,22,13,9,82,61,1026.2,1023.6,1
8.5,14.3,2.6,0.8,1,39,19,22,99,83,1020.5,1019.3,1
5.8,14.2,5,2.6,1.4,19,2,9,80,68,1020.7,1018.2,1
3.6,14.5,0,0.4,10.4,28,9,19,81,76,1016.8,1015.5,0
9.9,21.8,0,1.8,8.4,50,13,17,83,57,1010.1,1003.5,0
11.5,15.6,0.2,3.6,8.8,44,28,22,86,78,1016,1018.6,0
8.1,13.7,1.8,5.2,9,63,35,28,74,79,1007.1,1008.3,1
5.8,12.7,7.2,2.6,5.6,65,28,28,67,64,1017.9,1018.8,1
10.1,15.2,3.6,3.4,6.5,83,35,46,87,66,995.5,993.9,1
3.7,12.3,9.8,4.6,8.8,74,30,35,71,72,1008.8,1012.5,1
7.3,14.1,3.4,6.6,7,50,17,24,71,80,1022.9,1025,1
9.3,15.2,1.8,1.4,6.4,35,20,22,74,73,1031.8,1032.2,1
6.2,12.8,3,15.6,5.4,31,6,13,94,63,1019.4,1019,1
2.8,13.3,0,3.2,2.8,37,9,19,87,95,1015.1,1013.2,0
3.7,13.1,5.8,0.4,2.3,54,13,20,84,90,1012.1,1009.2,1
5.6,13.4,12.6,1.8,10.1,57,26,30,69,72,1015,1016.5,1
8.9,12.9,1.6,2.2,2.4,44,17,28,69,82,1024,1023.2,1
9.5,13.9,2.2,2.6,6.3,35,22,24,78,80,1023.7,1023.5,1
9.5,16.7,0,5.4,7.1,70,24,43,87,91,1011.4,1011.4,0
9.8,14.9,1.8,1.6,11.6,46,26,19,66,70,1021.4,1021.7,1
8.6,16.8,0,4.2,5.1,48,26,31,84,78,1015.3,1015.2,0
7.9,14.9,1.4,4.2,9.9,59,33,37,65,59,1018.5,1019.1,1
4.3,16.8,0.2,4,11,28,9,13,57,62,1024.8,1023.8,0
15.1,21.4,0,6.8,0.2,39,19,15,35,46,1013.6,1012,0
11.5,13.6,2.2,0.6,1.9,48,24,24,99,74,1010.7,1016,1
6.9,14.9,1.4,2.2,11.1,57,28,26,86,76,1014.6,1015.6,1
9.2,13.7,1.2,3.6,7.8,33,15,17,66,69,1022.5,1024.4,1
9.1,15,0,3.4,12.3,46,2,13,67,61,1026,1024.3,0
9.6,13.7,6.8,1.2,5.3,54,28,24,72,69,1013.8,1018,1
9,14.1,1,2.6,2.3,30,13,13,72,67,1021.4,1021.3,0
12.2,26,0,7.4,0.3,44,28,11,42,79,1006.4,1005.5,0
9.2,16.2,0.2,4.4,9,43,17,22,85,74,1012.7,1013.7,0
9.9,15.4,1.2,4.2,11.6,57,33,30,77,60,1019.3,1022.5,1
13.8,16.9,0,12.2,12.6,54,33,28,80,64,1017,1021.5,0
4,15.8,0,5.4,0.9,28,13,15,80,75,1016.7,1016.3,0
10.8,16.3,0,3.4,8,33,17,20,69,70,1018.6,1018.9,0
9.7,16.8,0,4,4.3,33,11,20,66,66,1018.7,1016.7,0
9.6,16.7,3.6,3.8,11.4,43,19,15,76,57,1015.8,1017.7,1
12.1,17.1,0,10.4,12.4,52,28,31,63,56,1015.5,1017.9,0
8.2,16.3,0,6,11.8,33,17,19,77,77,1020.7,1020.7,0
13.7,28.3,0,5.8,7.3,44,20,28,51,45,1010.4,1010.2,0
13.1,18.5,11.8,4.8,12.4,44,17,26,90,81,1016.5,1017,1
16,24.9,0.4,10.2,4.4,37,11,9,84,69,1010.4,1009.9,0
14,20.2,0,7.8,6.9,43,22,28,76,72,1015,1015.4,0
13.6,21.3,0,8,7.3,50,26,28,80,99,1005.1,1003.6,0
12.3,17.5,1.8,6.2,3,43,24,24,66,61,1008.8,1009.3,1
12.1,20.1,0,9,4.8,39,17,19,76,62,1012.6,1014.2,0
12,18.3,0,3.6,5,41,13,20,63,58,1015.6,1017.3,0
17.6,20.6,0,15.2,6,46,20,22,84,61,1004.7,1009.2,0
7.5,21.8,0,6.2,12.3,33,9,17,70,57,1017.6,1015.8,0
13.9,20.7,0,6.8,10.8,28,11,17,75,61,1012.9,1011.4,0
7.1,21.1,0.4,5,12.1,41,20,22,66,54,1019.5,1018.9,0
13.8,20.2,2.6,8.4,11.4,69,24,22,81,51,1011.2,1015.3,1
8.9,20.9,0,6.2,5.4,37,7,17,80,92,1011.6,1013.6,0
13.1,19.4,3.4,2.8,9.9,37,13,17,60,53,1015.9,1015.3,1
9.7,23.8,0,6.2,5.3,57,17,28,68,67,1013.5,1012.4,0
13.1,16.8,5.4,4,4.7,48,9,15,91,91,1011,1011.3,1
16.9,24.5,0.4,4.6,5.2,24,11,9,98,70,1016.9,1016.8,0
16.8,21.2,0,14.2,7.3,63,33,33,69,59,1009.9,1012.4,0
13.9,21.2,0.4,6.4,4.7,41,22,22,62,65,1016.3,1016.6,0
13.6,18.2,4.2,2.8,8.3,54,19,20,91,91,1017,1018.4,1
11.4,16.5,4.6,4.8,0.9,39,20,19,50,54,1027.1,1027.4,1
12,18.7,2,2.8,5.5,28,2,15,93,68,1025.7,1024.8,1
12.6,22.1,1,9.2,4.1,85,26,43,53,81,998.5,995.7,0
11.9,17.6,18.8,2.8,1.2,63,11,28,75,78,1012.3,1012.1,1
12.9,21.5,0.2,3,6.4,50,19,30,91,62,1013.9,1013.3,0
15,19.9,1,2.6,4.9,65,31,35,86,71,1009.7,1012.7,0
13.6,20,10.6,3.2,0.5,28,9,13,86,63,1018.9,1017.9,1
11.1,18.9,0.8,5.4,4.7,44,13,30,77,85,1021.3,1019.7,0
12.8,18.2,4,2.2,1.7,50,15,31,98,84,1014.2,1012.1,1
13.4,18.3,2.8,1.8,3.6,54,11,20,74,59,1015,1016.2,1
11.7,19.2,1,3,4.2,52,17,30,96,76,1018.1,1017,0
12.5,17.1,4,1.2,4.2,37,19,17,96,71,1019,1020.5,1
13,16.6,1,2.6,5.2,31,9,17,61,62,1027.2,1027.4,0
10.8,16.9,0,3.2,8.1,33,9,20,92,63,1029.9,1029.1,0
11.4,19.5,0.2,6.2,9.6,24,15,13,91,72,1022.7,1022.4,0
12.1,18.6,0.2,3,4.4,30,13,19,88,75,1027.1,1026.2,0
14,17,0.6,3,0.6,28,11,15,97,77,1025.6,1024.6,0
7.2,24.6,0,0.4,7.4,20,11,9,99,63,1022.5,1018.2,0
13.5,19,0.2,4.6,2.1,57,11,31,80,89,1012.1,1009.9,0
9.9,17.8,7.2,1.6,2.8,26,2,15,99,77,1012.7,1010.7,1
7.1,16.4,0.8,1.2,3.2,20,11,13,89,66,1019.7,1018.1,0
12.2,16.4,2,2.2,6.1,41,20,19,76,59,1022.9,1024.1,1
9.7,19.2,4.4,1,8,50,24,26,77,69,1005.7,1005.1,1
11.9,16.4,3.6,2.2,1.7,41,17,17,68,81,1015.8,1016.5,1
9.6,16.9,4.4,0.8,6.9,28,13,7,95,70,1018.7,1018.5,1
14.4,19.3,6.8,0.6,7.1,52,33,30,74,80,1021.2,1020.3,1
12.8,16.7,1.4,6.6,5.1,54,26,26,62,64,1015.4,1016.6,1
9,15.2,2.6,1,8.1,46,20,20,81,58,1023.3,1024.4,1
5,20.1,0,4.2,1.1,61,33,28,45,42,1016.8,1013,0
10.4,14.3,3.8,1.8,9.4,37,15,13,59,56,1027,1026.9,1
9.3,14,0.2,2.8,5.5,26,7,9,67,65,1028.4,1026.3,0
12,24.2,0,4.4,6.8,41,17,19,63,39,1024.3,1021.9,0
13.7,17.1,3.8,4,3.1,39,15,13,99,99,1015.6,1012.8,1
7.4,13,22.8,1.6,2.9,57,11,35,99,68,1012.5,1011.4,1
8.3,13.3,13.2,0.8,1.9,63,24,41,87,83,1009,1006.9,1
9.8,13.8,22.6,0.6,6.1,72,43,22,78,90,1004.3,1004.5,1
10.3,15.6,10.8,0.8,7.9,52,19,17,74,71,1011,1012.3,1
11.1,14.4,5.2,2.2,5.4,31,13,11,95,73,1018.3,1017.5,1
7.1,14.4,2,0.8,2.9,22,9,9,96,71,1019.5,1018.2,1
9.2,16.1,6.2,1.2,7,43,13,28,98,71,1014.9,1014,1
9.3,14.3,0,0.4,0,22,6,9,84,76,1012,1011.6,0
4.8,15.2,0.2,0.8,4.3,35,9,22,92,71,1025.9,1025,0
10.9,16.6,0.8,2.2,6.7,56,26,30,81,69,1026.1,1025.1,0
12.3,16.5,0,0.2,0.8,35,22,9,72,97,1029.4,1028.4,0
9.7,15.2,9.2,1.4,1.1,19,0,11,94,79,1031.2,1028.8,1
5.7,15.7,0,1,3.5,22,9,11,99,65,1028.1,1024.6,0
12.1,15.5,0,0,0,54,28,17,81,93,1017.9,1015.7,0
11.7,15.3,4.8,1.4,0.9,35,4,20,99,90,1013.9,1013.2,1
10.9,14.9,0.4,0,4.7,33,15,17,73,83,1021.1,1022.3,0
7.3,14.8,0.8,0.8,3.6,31,15,13,89,93,1026.5,1025.6,0
10.7,14.9,4,0.2,0,26,17,11,99,91,1026.1,1023.9,1
9.4,12.9,0,1,0,43,13,22,86,81,1020.3,1015.8,0
9.8,15.6,0,1,0.4,54,28,30,83,78,1012.4,1009.9,0
9.3,13.8,38.4,1.8,7,43,17,19,68,70,1020.9,1023.7,1
6.2,14.3,0.2,3.2,0.7,37,13,24,82,68,1028.9,1025.9,0
9,14.3,0,1,3.6,39,15,15,78,67,1023.8,1020,0
7.5,15.5,0,2.2,3.5,43,24,19,75,93,1014.5,1013.3,0
8,14.5,1.6,0.6,2.2,24,9,9,99,81,1017.2,1015.7,1
11.5,14.1,0.6,0.4,0,43,17,19,87,79,1013.3,1011.5,0
11.4,14.7,29.6,0.4,2.9,50,15,20,95,81,1013.8,1013.4,1
10.9,12.8,6,2.2,2.5,44,20,22,81,64,1018.2,1019.4,1
10.2,14.9,2.8,1,6.1,37,17,20,89,70,1023,1022.8,1
8.5,13.7,2.4,1,2.3,30,7,7,88,69,1023.1,1020.2,1
3.8,15.6,0,1.2,0.4,31,19,17,73,75,1019.8,1019.3,0
9.7,13.7,1,0.4,7.3,20,9,13,99,96,1024,1023.8,0
7.3,15.3,4.2,1,1.4,44,15,20,99,91,1026.7,1023.8,1
10.8,16.5,5.8,0.6,0.2,54,26,28,94,84,1021.3,1019.9,1
11.5,16.9,2.6,0.6,6.4,69,24,41,83,64,1020.5,1018.8,1
9,11.1,0.8,3.8,0.4,87,26,33,79,88,1001.9,998.8,0
5.1,12.7,27.2,1.8,6.2,80,33,41,81,65,1006.7,1007.9,1
8.1,12.9,7.8,1.4,6.3,67,31,20,72,75,1014.9,1016.4,1
5.8,12.2,18.4,1,7.5,26,7,7,93,87,1032.7,1033.1,1
7.3,14.4,15.8,0.4,0,43,17,19,99,99,1022.1,1016.4,1
11.5,15.7,14.2,0.2,0.7,37,19,17,91,89,1013.7,1011.8,1
10.1,14.8,5.8,0.8,3.3,24,13,11,99,97,1018.6,1019.1,1
11.1,14.3,5,0.8,4.1,30,13,19,99,77,1022,1019.4,1
9.5,16,9.6,1.8,6.3,57,15,28,93,77,1005.8,997.8,1
11.5,13.1,6.6,1,0.7,50,24,31,93,90,999.6,1001.8,1
4.5,9,34.4,0.4,0.5,46,11,17,95,88,1004.4,1003.3,1
4.8,12.1,14.6,1,3.6,30,20,11,97,74,1008.2,1008.6,1
2.7,11.3,0.2,0.8,1.8,30,15,13,98,98,1014.2,1016.4,0
4.5,12.5,3.2,0.8,2,37,15,13,74,72,1027.8,1029.4,1
9.2,13.6,0.4,1.4,0.1,22,0,6,84,65,1033.9,1031.4,0
7,13.3,0,1.4,0.1,41,19,19,82,69,1021.7,1018.7,0
8.6,13.7,1.6,1.6,3.5,43,15,22,99,99,1015.7,1014.6,1
4.3,14,0.4,0.8,7.3,30,11,11,90,59,1024.6,1021.8,0
8.2,12.4,4.8,3,5.5,80,44,41,90,65,1007.3,1009.1,1
7.5,13.2,3.2,1.4,4.8,72,30,41,92,72,1008.3,1004.9,1
8.3,13.5,18,1.8,2.5,56,19,30,88,90,1013.2,1011.1,1
9.2,15.2,17.4,1,0.4,98,26,30,95,85,1009.3,1003.8,1
10.1,14,15.8,6,7.1,63,26,35,77,64,1007.2,1008.6,1
6.3,11.6,4,1.6,4.5,46,6,26,97,85,1010.4,1010.5,1
9.5,14.8,2,1.8,4.1,61,33,26,91,96,1006.8,1006,1
10.3,15.3,4,0.8,8.1,48,30,28,69,72,1015.3,1015.4,1
8.6,16.5,0,2,8.3,48,26,22,86,66,1011.7,1007.5,0
7.5,12.4,10.2,2.6,6,78,37,33,85,61,1002.4,1004.5,1
9.4,12.8,61,2.4,7.5,76,30,37,91,66,1001.1,1006.4,1
8,15.4,2.8,2.2,6,57,15,24,80,83,1018.9,1016.3,1
8.1,13.1,13.2,2,6.5,94,31,56,90,81,999.3,1000.5,1
4.2,9.8,11.8,3.2,7.6,69,33,24,76,85,1010.5,1013.2,1
5.4,11.4,10.8,1.6,7.1,54,26,33,77,75,1017.2,1016.3,1
6.1,13.1,4.8,2.2,2.7,48,19,31,98,91,1013.4,1008.7,1
8.5,12.4,15,1.2,2.3,72,28,43,72,90,1008.2,1005.3,1
9.4,13.2,9.8,0.4,2.1,72,39,33,91,88,1010.6,1013.8,1
10.3,13.9,2.8,0.8,3.2,37,22,22,99,90,1022.6,1022,1
10.9,15.7,3.8,0.8,5.8,43,19,28,87,71,1022.4,1021.3,1
7.6,17.9,0.6,1.4,1.7,52,11,20,99,75,1009,1000.6,0
11.7,16.2,2,2.2,5.7,72,33,24,78,83,1008.7,1009.8,1
12.4,16,5,3.2,3.2,44,13,24,99,77,1024.6,1024.6,1
10.6,14.5,2.8,0.8,4,41,22,15,95,75,1024.7,1025.9,1
9.9,20.1,0.6,3.2,2.2,72,33,37,55,80,1007.2,1000.8,0
8.6,13.4,3.2,2.2,8.6,63,30,39,72,77,1008,1007.4,1
10.1,14.3,3.6,2.2,9.6,59,30,31,64,72,1011.3,1012.6,1
8.7,12.6,1.8,2.6,6,37,22,17,66,60,1018.8,1017,1
5.9,11.8,0,3.6,0.3,35,11,11,75,91,1014.7,1012.5,0
8,15.2,2.4,0,1,20,11,7,99,81,1014.5,1012.7,1
11.6,17.5,3.4,1.6,2,30,9,19,99,80,1004.8,1002.3,1
9.6,13.6,0.8,1.4,1.6,65,13,24,99,91,998.5,998.4,0
9.7,15.3,17.2,1.8,3.8,65,19,17,74,70,1007.2,1003.9,1
8.3,14.7,8.2,3,9.4,56,33,30,82,72,1010.1,1013,1
6.5,18.9,0,3.2,5.4,39,17,20,91,72,1013.8,1010.6,0
9.8,16.5,5.8,2,7.1,24,15,9,82,73,1012.4,1010.3,1
11.4,20,0,4,8.5,48,24,24,81,74,1001.3,1000.1,0
13,17,0.2,4.2,8.6,65,33,33,76,69,1003.6,1005.1,0
9,14,5.2,5.4,8.9,94,50,37,66,66,1007.1,1013.4,1
12.8,18,0,7.8,0.1,57,17,19,85,71,1000.6,998,0
8.2,13.8,7.8,1.8,8.1,65,31,43,84,60,1003.4,1007.4,1
9.6,14.7,3.8,4.8,5.9,106,35,56,97,69,997.5,1000.7,1
8,14,17.8,2.6,3.5,50,22,20,62,60,1021.1,1023,1
9.4,14.2,0.2,2.4,5.5,35,11,17,94,80,1010.4,1010.5,0
5.7,17.3,0.2,1.8,6.1,41,13,13,82,68,1014.1,1012.8,0
12,15.5,0,2.4,5.2,52,15,30,82,73,1007.4,1009.3,0
10.7,16.2,2.6,2.8,7.6,59,33,39,71,71,1014.5,1014.7,1
